#CHANNEL:CH1
#SIZE=4000
Index,Time(s),Volt(V)
594,2.372000e-02,-2.000000e-01
595,2.376000e-02,-8.000000e-02
596,2.380000e-02,8.000000e-02
597,2.384000e-02,2.000000e-01
598,2.388000e-02,2.800000e-01
599,2.392000e-02,3.200000e-01
600,2.396000e-02,2.400000e-01
601,2.400000e-02,1.200000e-01
602,2.404000e-02,0.000000e+00
603,2.408000e-02,-2.000000e-01
604,2.412000e-02,-3.200000e-01
605,2.416000e-02,-3.200000e-01
606,2.420000e-02,-3.600000e-01
607,2.424000e-02,-2.000000e-01
608,2.428000e-02,4.000000e-02
609,2.432000e-02,2.800000e-01
610,2.436000e-02,4.400000e-01
611,2.440000e-02,5.600000e-01
612,2.444000e-02,6.000000e-01
613,2.448000e-02,3.600000e-01
614,2.452000e-02,1.200000e-01
615,2.456000e-02,-2.000000e-01
616,2.460000e-02,-4.800000e-01
617,2.464000e-02,-6.000000e-01
618,2.468000e-02,-6.800000e-01
619,2.472000e-02,-4.800000e-01
620,2.476000e-02,-2.000000e-01
621,2.480000e-02,1.600000e-01
622,2.484000e-02,5.200000e-01
623,2.488000e-02,7.200000e-01
624,2.492000e-02,7.600000e-01
625,2.496000e-02,6.000000e-01
626,2.500000e-02,2.800000e-01
627,2.504000e-02,-8.000000e-02
628,2.508000e-02,-4.400000e-01
629,2.512000e-02,-6.400000e-01
630,2.516000e-02,-7.200000e-01
631,2.520000e-02,-5.600000e-01
632,2.524000e-02,-3.200000e-01
633,2.528000e-02,-4.000000e-02
634,2.532000e-02,3.200000e-01
635,2.536000e-02,5.200000e-01
636,2.540000e-02,6.400000e-01
637,2.544000e-02,5.200000e-01
638,2.548000e-02,3.600000e-01
639,2.552000e-02,1.200000e-01
640,2.556000e-02,-1.600000e-01
641,2.560000e-02,-3.600000e-01
642,2.564000e-02,-4.800000e-01
643,2.568000e-02,-4.400000e-01
644,2.572000e-02,-3.200000e-01
645,2.576000e-02,-4.000000e-02
646,2.580000e-02,1.200000e-01
647,2.584000e-02,2.800000e-01
648,2.588000e-02,3.200000e-01
649,2.592000e-02,3.600000e-01
650,2.596000e-02,2.800000e-01
651,2.600000e-02,1.200000e-01
652,2.604000e-02,0.000000e+00
653,2.608000e-02,-1.200000e-01
654,2.612000e-02,-2.000000e-01
655,2.616000e-02,-2.400000e-01
656,2.620000e-02,-2.000000e-01
657,2.624000e-02,-1.200000e-01
658,2.628000e-02,0.000000e+00
659,2.632000e-02,1.200000e-01
660,2.636000e-02,2.000000e-01
661,2.640000e-02,2.800000e-01
662,2.644000e-02,2.400000e-01
663,2.648000e-02,2.000000e-01
664,2.652000e-02,8.000000e-02
665,2.656000e-02,-1.200000e-01
666,2.660000e-02,-2.800000e-01
667,2.664000e-02,-3.600000e-01
668,2.668000e-02,-4.000000e-01
669,2.672000e-02,-2.800000e-01
670,2.676000e-02,-1.200000e-01
671,2.680000e-02,1.200000e-01
672,2.684000e-02,3.200000e-01
673,2.688000e-02,5.200000e-01
674,2.692000e-02,6.000000e-01
675,2.696000e-02,4.800000e-01
676,2.700000e-02,2.800000e-01
677,2.704000e-02,-8.000000e-02
678,2.708000e-02,-3.600000e-01
679,2.712000e-02,-6.400000e-01
680,2.716000e-02,-7.200000e-01
681,2.720000e-02,-6.000000e-01
682,2.724000e-02,-3.200000e-01
683,2.728000e-02,4.000000e-02
684,2.732000e-02,3.200000e-01
685,2.736000e-02,6.400000e-01
686,2.740000e-02,7.600000e-01
687,2.744000e-02,7.200000e-01
688,2.748000e-02,4.800000e-01
689,2.752000e-02,1.600000e-01
690,2.756000e-02,-2.000000e-01
